tf,confidence,target,mor,likelihood
Adnp2,E,Pom121,1,1
Adnp2,E,Pou2f1,1,1
Adnp2,E,Pp2d1,1,1
Adnp2,E,Ppfia1,1,1
Adnp2,E,Ppp1r15b,1,1
Adnp2,E,Ppp2r2a,1,1
Adnp2,E,Ppp4r3a,1,1
Adnp2,E,Proser3,1,1
Adnp2,E,Prpf19,1,1
Adnp2,E,Prpf40a,1,1
Adnp2,E,Prrc2c,1,1
Adnp2,E,Psmd11,1,1
Adnp2,E,Psmd12,1,1
Adnp2,E,Psmd6,1,1
Adnp2,E,Psme4,1,1
Adnp2,E,Ptbp2,1,1
Adnp2,E,Ptp4a1,1,1
Adnp2,E,Ptpn1,1,1
Adnp2,E,Rab21,1,1
Adnp2,E,Rab5a,1,1
Adnp2,E,Rad54l2,1,1
Adnp2,E,Rbm12,1,1
Adnp2,E,Rbm25,1,1
Adnp2,E,Rbmx,1,1
Adnp2,E,Rcor1,1,1
Adnp2,E,Rfc3,1,1
Adnp2,E,Ric1,1,1
Adnp2,E,Rint1,1,1
Adnp2,E,Riok3,1,1
Adnp2,E,Rlf,1,1
Adnp2,E,Rlim,1,1
Adnp2,E,Rnf111,1,1
Adnp2,E,Rnf138,1,1
Adnp2,E,Rnf149,1,1
Adnp2,E,Rnmt,1,1
Adnp2,E,Rprd1b,1,1
Adnp2,E,Rpusd3,1,1
Adnp2,E,Rrn3,1,1
Adnp2,E,Rspry1,1,1
Adnp2,E,Rsrc2,1,1
Adnp2,E,Sar1a,1,1
Adnp2,E,Sart3,1,1
Adnp2,E,Sbf2,1,1
Adnp2,E,Scaf8,1,1
Adnp2,E,Scyl2,1,1
Adnp2,E,Sde2,1,1
Adnp2,E,Sec16a,1,1
Adnp2,E,Secisbp2,1,1
Adnp2,E,Seh1l,1,1
Adnp2,E,Senp6,1,1
Adnp2,E,Serpinb8,1,1
Adnp2,E,Sfpq,1,1
Adnp2,E,Siah1a,1,1
Adnp2,E,Siah1b,1,1
Adnp2,E,Slc20a1,1,1
Adnp2,E,Slc25a11,1,1
Adnp2,E,Slc25a25,1,1
Adnp2,E,Slc25a32,1,1
Adnp2,E,Slc25a44,1,1
Adnp2,E,Slc30a7,1,1
Adnp2,E,Smc5,1,1
Adnp2,E,Smurf1,1,1
